Tanggal,Hari,Keterangan,Minggu Audit Terdampak (Tanggal_Audit Senin berikutnya)
1 January,Rabu,Tahun Baru 2025 Masehi,6 January 2025
27 January,Senin,Isra Mi'raj Nabi Muhammad SAW,3 February 2025
28 January,Selasa,Cuti Bersama Tahun Baru Imlek,3 February 2025
29 January,Rabu,Tahun Baru Imlek 2576 Kongzili,3 February 2025
28 March,Jumat,Cuti Bersama Hari Suci Nyepi,31 March 2025
29 March,Sabtu,Hari Suci Nyepi 1947,31 March 2025
31 March,Senin,Idul Fitri 1446 H,7 April 2025
1 April,Selasa,Idul Fitri 1446 H,7 April 2025
2 April,Rabu,Cuti Bersama Idul Fitri,7 April 2025
3 April,Kamis,Cuti Bersama Idul Fitri,7 April 2025
4 April,Jumat,Cuti Bersama Idul Fitri,7 April 2025
7 April,Senin,Cuti Bersama Idul Fitri,14 April 2025
18 April,Jumat,Wafat Yesus Kristus,21 April 2025
1 May,Kamis,Hari Buruh Internasional,5 May 2025
12 May,Senin,Hari Raya Waisak 2569 BE,19 May 2025
13 May,Selasa,Cuti Bersama Hari Raya Waisak,19 May 2025
29 May,Kamis,Kenaikan Yesus Kristus,2 June 2025
30 May,Jumat,Cuti Bersama Kenaikan Yesus Kristus,2 June 2025
1 June,Minggu,Hari Lahir Pancasila,2 June 2025
6 June,Jumat,Idul Adha 1446 H,9 June 2025
9 June,Senin,Cuti Bersama Idul Adha,16 June 2025
27 June,Jumat,Tahun Baru Islam 1447 H,30 June 2025
17 August,Minggu,Hari Kemerdekaan RI,18 August 2025
5 September,Jumat,Maulid Nabi Muhammad SAW,8 September 2025
25 December,Kamis,Hari Natal,29 December 2025
26 December,Jumat,Cuti Bersama Hari Natal,29 December 2025
